authorized_status,id,is_t1_brand,name
1,7265141763801646854,False,Gozen
1,7231150025261319941,False,OCOP HUYỆN LAI VUNG
1,7238550132806174469,False,"""1K"" [satu keluarga]"
1,7342444266138027781,False,#1 All Systems
1,7111595400213071622,False,#arjdbb
1,7380161407467063045,False,#DABOBOX
1,7280812821032732421,False,#EverydayHustle
1,7158094830659340038,False,#ohmymats
1,7318282795423057669,False,#STANLEYNESS
1,7345632091196999430,False,& 1
1,7348860646622021382,False,& 2024
1,7343255300599760646,False,& arisgame
1,7313916609314473733,False,& aully
1,7349528323313125126,False,& baju
1,7322515776202819333,False,& Be Sweet Hair
1,7344319407962801926,False,& BELUM
1,7311537967741568773,False,& Berkat
1,7347216618973497093,False,& Bird's Custard
1,7334558460467758853,False,& body washer
1,7332221211633960709,False,& Carolina Creations
1,7329992820297926405,False,& Freedom Tees
1,7325013497153603333,False,& Giangmatna
1,7321343140336748293,False,& kensy
1,7323153731556656901,False,& konco
1,7338354037013808902,False,& Kxuhivc
1,7325686650565265158,False,& LIFEZIG
1,7327915111136970501,False,& lnjklkn
1,7316127686261556998,False,& mademix
1,7340869543600047877,False,& Microlab
1,7340001469615343365,False,& nazmi fashion
1,7332076753810114309,False,& PreciousCollection
1,7320798563552790278,False,& Preggoplush
1,7307881851154843397,False,& Quennella
1,7326105039094040325,False,& rakyat
1,7333094561478362885,False,& Skorpio
1,7331121324900927238,False,& Snacks Therapy
1,7351594550936946437,False,& snapy
1,7340440527516763910,False,& TYYPJJ
1,7340436722687837958,False,& TYYYUG
1,7340845919524357894,False,& Vertac
1,7342778599096944389,False,& YBUETE
1,7324632722134730502,False,& Zelscentfashion
1,7327904300542134022,False,&&chvjjn
1,7326419501136873221,False,&00
1,7343199507951257350,False,&12
1,7337924616777729797,False,&168
1,7336936537399215878,False,&1688
1,7323615462322226949,False,&1977
1,7339744572689745670,False,&1993
1,7338259214445774598,False,&1994
1,7337705805854410502,False,&2001
1,7340985225618196230,False,&2003
1,7335215027735578374,False,&2023
1,7277538965094237957,False,&3158
1,7338433270818686726,False,&606
1,7340894067913590533,False,&6999
1,7327145182971971334,False,&abstrak
1,7315199486807312133,False,&achlim
1,7312747670095382278,False,&aircondition
1,7329088421899798277,False,&Alltripal
1,7312355718672353030,False,&ALTHAF
1,7313615647143462661,False,&AMPD
1,7335684012839028485,False,&Andy Tauer
1,7311360879638038278,False,&ankaraa
1,7305682585894848262,False,&AQ
1,7338661438887757574,False,&Arbenefe
1,7316072203890640645,False,&Armorfusion
1,7303354589796550405,False,&Artistrybazaar
1,7319525380224780038,False,&ASTY
1,7300069792474777350,False,&autorock
1,7310559871429363461,False,&Ayuan
1,7322066645300365062,False,&AYULU
1,7334692202301687557,False,&AzielClo.
1,7314678229565572869,False,&BABAOFARM
1,7312818980203742982,False,&BABYB
1,7337314688793298693,False,&BabyNassal
1,7312966696866973446,False,&baksosony
1,7311621431335094021,False,&BANCETCOLLETION
1,7307850011516241670,False,&baotaybaracuda
1,7311343119500314373,False,&batik bagan
1,7267019421540419333,False,&BAYLIS
1,7306051056071804677,False,&bbb
1,7300866797426837253,False,&bellhome
1,7322309271655679749,False,&beltbag
1,7311910696126924549,False,&Biasstore
1,7311387413212186374,False,&biitersweet
1,7341017710128629510,False,&Binoteck
1,7338329068913411846,False,&BiO 08
1,7277940080407480069,False,&blessery
1,7320717782138750726,False,&BnCH
1,7338657549627148038,False,&Bntuk
1,7323848540680570629,False,&BongBrand
1,7319770898926421765,False,&broun
1,7235284621292914437,False,&bunya brand
1,7313820812015748870,False,&cantikbysusant
1,7312608287076189958,False,&Cariva
1,7329373687588030214,False,&cCOQWFJ
1,7313953307482228486,False,&changkel
1,7299127631314749189,False,&chicksandwickscandles
