id,is_leaf,local_display_name,parent_id
924424,False,Medical Supplies,700645
927112,False,Humanities & Social Sciences,801928
929928,False,Car Electronics,605196
930056,False,Car Exterior Accessories,605196
930184,False,Car Interior Accessories,605196
936712,False,Fan Shop,603014
937736,False,Sports Collectibles,951432
940296,False,Car Repair Tools,605196
940424,False,Car Lights,605196
940680,False,"Quads, Motorhomes & Boats",605196
940808,False,Car Washing & Maintenance,605196
940936,False,Motorcycle Accessories,605196
950792,False,Alternative Medications & Treatments,700645
951560,False,DIY,604206
953352,False,Entertainment,951432
955400,False,Natural Crystal,953224
961800,False,Non-natural Crystal,953224
961928,False,Baby Fashion Accessories,602284
963848,False,Jade,953224
964104,False,"Ruby, Sapphire & Emerald",953224
964232,False,Semiprecious Stones,953224
964360,False,Artificial Gemstones,953224
964488,False,Pearl,953224
964616,False,Amber,953224
964744,False,Mellite,953224
978952,False,Universal Accessories,601739
980488,False,Pumps & Plumbing,604579
981128,False,Special Personal Care,601450
984584,False,Tablet & Computer Accessories,601739
985736,False,Magazines & Newspapers,801928
986760,False,Literature & Art,801928
989320,False,Economics & Management,801928
989704,False,Children's & Infants' Books,801928
990216,False,Science & Technology,801928
992392,False,Lifestyle & Hobbies,801928
992904,False,Education & Schooling,801928
995976,False,Phones & Tablets,601739
997384,False,Video & Music,801928
1001992,False,Farm Animal & Poultry Supplies,602118
1005448,False,7Level Test L2-01,800136
600009,True,Festive Decorations,852488
600017,True,Balloons,852488
600019,True,"Sprays, Confetti & Streamers",852488
600029,True,Preserving Containers,859528
600032,True,Vacuum Flasks,859400
600033,True,Placemats & Coasters,859272
600036,True,Glasses,859400
600042,True,Mugs,859400
600047,True,Drinkware Accessories,859400
600048,True,Water Bottles,859400
600059,True,Lunch Boxes,859272
600060,True,Fruit & Vegetable Utensils,859528
600063,True,Chopsticks,859272
600064,True,Plates,859272
600069,True,Bowls,859272
600070,True,Forks,859272
600071,True,Tableware Sets,859272
600072,True,Knives,859272
600073,True,Spoons,859272
600075,True,Bar Utensils,858888
600080,True,Wine Racks,858888
600081,True,Bar Sets,858888
600095,True,Cups & Saucers,859400
600096,True,Coffee Pots,858504
600100,True,Coffee Sets,858504
600102,True,Milk Jugs,858504
600103,True,Coffee-Making Tools,858504
600119,True,Baking Tins & Molds,859016
600121,True,Measuring Utensils,859528
600123,True,Fire Starters,859528
600127,True,Kitchen Timers,859528
600132,True,Meat & Poultry Utensils,859528
600135,True,Sieves and Colanders,859528
600139,True,Specialty Kitchen Utensils,859528
600146,True,Pots,859144
600148,True,Cooking Utensils,859528
600151,True,Chopping Boards,858632
600152,True,Baking Utensils,859016
600157,True,Blankets & Throws,808328
600165,True,Sheets & Pillowcases,808328
600203,True,Chair Covers,809992
